Период;Контрагент;ТМ;Стоимость;Валовый Доход;Тип;Количество
2022-11-01;Вайлдберриз;Thomas Munz;1990580.903998904;1234264.15291583;План;0
2022-11-01;Вайлдберриз;Salamander;650852.7453018705;422424.5697176091;План;0
2022-11-02;Вайлдберриз;Thomas Munz;1778370.3722307174;1102682.536862699;План;0
2022-11-02;Вайлдберриз;Salamander;581467.0665254756;377391.01072403276;План;0
2022-11-03;Вайлдберриз;Thomas Munz;1690837.5202957063;1048407.5957493621;План;0
2022-11-03;Вайлдберриз;Salamander;552846.7794165445;358815.51487730746;План;0
2022-11-04;Вайлдберриз;Thomas Munz;1679037.7667981428;1041091.1321351337;План;0
2022-11-04;Вайлдберриз;Salamander;548988.6584316872;356311.46905632695;План;0
2022-11-05;Вайлдберриз;Thomas Munz;1732188.701061997;1074047.48810342;План;0
2022-11-05;Вайлдберриз;Salamander;566367.2193389548;367590.71949593123;План;0
2022-11-06;Вайлдберриз;Thomas Munz;1922493.3708546704;1192046.3253200913;План;0
2022-11-06;Вайлдберриз;Salamander;628590.4208825357;407975.59814664396;План;0
2022-11-07;Вайлдберриз;Thomas Munz;2009833.260601084;1246201.6197957175;План;0
2022-11-07;Вайлдберриз;Salamander;657147.6158710029;426510.145158119;План;0
2022-11-08;Вайлдберриз;Thomas Munz;1958467.8076138021;1214352.3554964755;План;0
2022-11-08;Вайлдберриз;Salamander;640352.8470558868;415609.79474638076;План;0
2022-11-09;Вайлдберриз;Thomas Munz;1749680.7675745452;1084893.4831662108;План;0
2022-11-09;Вайлдберриз;Salamander;572086.5344835058;371302.7407733337;План;0
2022-11-10;Вайлдберриз;Thomas Munz;1663560.041569912;1031494.1339023522;План;0
2022-11-10;Вайлдберриз;Salamander;543927.9648745528;353026.9145794865;План;0
2022-11-11;Вайлдберриз;Thomas Munz;3303901.295783499;2048591.4066419576;План;0
2022-11-11;Вайлдберриз;Salamander;1080264.1702465976;701126.5306810982;План;0
2022-11-12;Вайлдберриз;Thomas Munz;3408488.246749661;2113440.78009921;План;0
2022-11-12;Вайлдберриз;Salamander;1114460.5719212696;723321.1059787933;План;0
2022-11-13;Вайлдберриз;Thomas Munz;3782957.3966131927;2345631.2161276652;План;0
2022-11-13;Вайлдберриз;Salamander;1236899.3402877885;802787.8431437291;План;0
2022-11-14;Вайлдберриз;Thomas Munz;1977409.5750899822;1226097.2408923665;План;0
2022-11-14;Вайлдберриз;Salamander;646546.1654676001;419629.4595385739;План;0
2022-11-15;Вайлдберриз;Thomas Munz;1859940.962079039;1153260.564000268;План;0
2022-11-15;Вайлдберриз;Salamander;608137.895242871;394701.2447612763;План;0
2022-11-16;Вайлдберриз;Thomas Munz;1661657.6067894807;1030314.5249510005;План;0
2022-11-16;Вайлдберриз;Salamander;543305.932935477;352623.195649035;План;0
2022-11-17;Вайлдберриз;Thomas Munz;1579869.4531331968;979601.5968864708;План;0
2022-11-17;Вайлдберриз;Salamander;516563.9681987386;335266.79202492366;План;0
2022-11-18;Вайлдберриз;Thomas Munz;1882612.9275561252;1167318.3670306783;План;0
2022-11-18;Вайлдберриз;Salamander;615550.862453853;399512.5012352387;План;0
2022-11-19;Вайлдберриз;Thomas Munz;1942208.1540218368;1204270.5208284769;План;0
2022-11-19;Вайлдберриз;Salamander;635036.4893249709;412159.3059174439;План;0
2022-11-20;Вайлдберриз;Thomas Munz;2155586.3392005973;1336576.1429970122;План;0
2022-11-20;Вайлдберриз;Salamander;704803.9513417791;457440.6546333823;План;0
2022-11-21;Вайлдберриз;Thomas Munz;2253515.7656729277;1397297.503463992;План;0
2022-11-21;Вайлдберриз;Salamander;736823.5672927361;478222.42530000635;План;0
2022-11-22;Вайлдберриз;Thomas Munz;1849654.9100411097;1146882.6743701913;План;0
2022-11-22;Вайлдберриз;Salamander;604774.7035264453;392518.4241095327;План;0
2022-11-23;Вайлдберриз;Thomas Munz;1652468.1233805276;1024616.5651581079;План;0
2022-11-23;Вайлдберриз;Salamander;540301.2821360005;350673.0796968746;План;0
2022-11-24;Вайлдберриз;Thomas Munz;1571132.2836534202;974184.0953595677;План;0
2022-11-24;Вайлдберриз;Salamander;513707.20878209977;333412.66238335526;План;0
2022-11-25;Вайлдберриз;Thomas Munz;1560167.9104143332;967385.6111477436;План;0
2022-11-25;Вайлдберриз;Salamander;510122.2289358458;331085.89403224725;План;0
2022-11-26;Вайлдберриз;Thomas Munz;1609555.949020005;998008.7752257999;План;0
2022-11-26;Вайлдберриз;Salamander;526270.4500139245;341566.613964447;План;0
2022-11-27;Вайлдберриз;Thomas Munz;1786387.730224495;1107653.7176637072;План;0
2022-11-27;Вайлдберриз;Salamander;584088.4718900279;379092.38794210507;План;0
2022-11-28;Вайлдберриз;Thomas Munz;1867544.2687944;1157975.011377685;План;0
2022-11-28;Вайлдберриз;Salamander;610623.9198194775;396314.7554511533;План;0
2022-11-29;Вайлдберриз;Thomas Munz;2318119.573333036;1437355.239261896;План;0
2022-11-29;Вайлдберриз;Salamander;757946.8311038507;491932.10954248894;План;0
2022-11-30;Вайлдберриз;Thomas Munz;2070991.0158496397;1284122.6230689078;План;0
2022-11-30;Вайлдберриз;Salamander;677144.1368966282;439488.53673912265;План;0
2022-11-01;Ламода;Thomas Munz;3139157.064315498;1987977.4291240994;План;0
2022-11-01;Ламода;ПТМ;364398.26614245604;222282.94234689817;План;0
2022-11-01;Ламода;Salamander;995377.3407744454;624133.9428086345;План;0
2022-11-02;Ламода;Thomas Munz;3011302.843067882;1907009.4173773148;План;0
2022-11-02;Ламода;ПТМ;349556.74799376656;213229.6162761976;План;0
2022-11-02;Ламода;Salamander;954836.7777682458;598713.6922199937;План;0
2022-11-03;Ламода;Thomas Munz;2805689.975517668;1776798.1117775298;План;0
2022-11-03;Ламода;ПТМ;325688.88445689884;198670.2195187083;План;0
2022-11-03;Ламода;Salamander;889640.1708008375;557833.3007368464;План;0
2022-11-04;Ламода;Thomas Munz;2954059.0326716136;1870757.8375126242;План;0
2022-11-04;Ламода;ПТМ;342911.79687204363;209176.19609194662;План;0
2022-11-04;Ламода;Salamander;936685.6656701135;587332.3550164016;План;0
2022-11-05;Ламода;Thomas Munz;3221193.123429841;2039929.539372895;План;0
2022-11-05;Ламода;ПТМ;373921.140305793;228091.8955865337;План;0
2022-11-05;Ламода;Salamander;1021389.6850744768;640444.5280958608;План;0
2022-11-06;Ламода;Thomas Munz;3186381.1382188983;2017883.6718216815;План;0
2022-11-06;Ламода;ПТМ;369880.1105669352;225626.8674458305;План;0
2022-11-06;Ламода;Salamander;1010351.3519944774;633523.134504668;План;0
2022-11-07;Ламода;Thomas Munz;3021271.589983133;1913322.4636690877;План;0
2022-11-07;Ламода;ПТМ;350713.9357410202;213935.5008020223;План;0
2022-11-07;Ламода;Salamander;957997.7106531124;600695.6998703289;План;0
2022-11-08;Ламода;Thomas Munz;3532443.1456206306;2237039.1475423696;План;0
2022-11-08;Ламода;ПТМ;410051.5301204409;250131.43337346893;План;0
2022-11-08;Ламода;Salamander;1120082.172597974;702327.925316564;План;0
2022-11-09;Ламода;Thomas Munz;3388570.8390645757;2145927.1412777747;План;0
2022-11-09;Ламода;ПТМ;393350.6075540276;239943.87060795684;План;0
